Key,Korean,English
# UI Basic Text,,
ui_confirm,확인,Confirm
ui_cancel,취소,Cancel
ui_close,닫기,Close
ui_apply,적용,Apply
ui_back,뒤로,Back
ui_next,다음,Next
ui_previous,이전,Previous
,,
# Menu Related,,
menu_title,메뉴,Menu
menu_resume,게임 계속,Resume Game
menu_settings,설정,Settings
menu_exit,게임 종료,Exit Game
menu_inventory,인벤토리,Inventory
menu_start,게임 시작,Start Game
menu_close,닫기,Close
,,
# Game Related,,
game_over,게임 오버,Game Over
game_victory,승리!,Victory!
game_pause,일시정지,Pause
game_resume,계속,Resume
game_restart,다시 시작,Restart
,,
# Loading Related,,
loading_text,로딩 중...,Loading...
loading_please_wait,잠시만 기다려주세요,Please wait
loading_progress,로딩 중...,Loading...
loading_wait,잠시만 기다려주세요...,Please wait a moment...
loading_data,데이터를 불러오는 중...,Loading data...
loading_almost_done,거의 완료되었습니다...,Almost done...
,,
# Language Settings,,
language_settings_title,언어 설정,Language Settings
language_settings_apply,적용,Apply
language_settings_close,닫기,Close
,,
# Settings Popup,,
settings_language,언어 설정,Language Settings
settings_sound,사운드 설정,Sound Settings
settings_graphics,그래픽 설정,Graphics Settings
settings_close,닫기,Close
,,
# Title Text,,
titleText,유니모,UniMo
,,
# Language Settings Panel,,
label,라벨,Label
preview,미리보기,Preview
translationcompleteness,번역 완성도,Translation Completeness
currentlanguage,현재 언어,Current Language
reset,초기화,Reset
close,닫기,Close
apply,적용,Apply
test,테스트,Test
cancel,취소,Cancel
confirm,확인,Confirm
titletext,유니모,UniMo
,,
# Additional UI Elements,,
exit,종료,Exit
settings,설정,Settings
start,시작,Start
item,아이템,Item
title,유니모,UniMo
closebutton,닫기,Close
exitbutton,종료,Exit
settingsbutton,설정,Settings
startbutton,시작,Start
actionbutton,실행,Action
description,설명,DescriptionInfo
questprogress,퀘스트 진행도,Quest progress
level,레벨,Level
money,돈,Money
runmoenybutton,,
rungembutton,,
rungoalbutton,,
runtitle,,
rundescription,,
centermessage,중앙 메시지,Center Message
progress,진행률,Progress
buyupgradebutton,업그레이드 구매,Buy Upgrade
buildingname,건물 이름,Building Name
materials,재료,Materials
buildingcount,건물 수,Building Count
harvestbuildingtop,수확 건물 상단,Harvest Building Top
runharvestbuildingname,,
runharvestbuildingdesc,,
runproductionmaterial,,
upgrade1,업그레이드 1,Upgrade 1
runupgrademoneynum1,,
runbeforeupgradenum1,,
runafterupgradenum1,,
changeddesc1,변경 설명 1,Change Description 1
runhr,,
manufacturebuildingtop,제조 건물 상단,Manufacture Building Top
runmanufacturebuildingname,,
runmanufacturebuildingdesc,,
runinputmaterials,,
upgrade2,업그레이드 2,Upgrade 2
runbeforeupgradenum2,,
runafterupgradenum2,,
changeddesc2,변경 설명 2,Change Description 2
runupgradename,,
runbeforeupgradenum,,
runafterupgradenum,,
upgrade,업그레이드,Upgrade
runmoneynum,,
playerupgrade,플레이어 업그레이드,Player Upgrade
property,속성,Property
moenybutton,돈,Money
buybutton,구매,Buy
runrcharactername,,
runchoicebutton1,,
runchoicebutton2,,
runchoicebutton3,,
runchoicebutton4,,
choicequestion,선택 질문,Choice Question
runlcaractername,,
runchatwindow,,
logbutton,로그,Log
skipbutton,건너뛰기,Skip
upgradebutton,업그레이드,Upgrade
workername,작업자 이름,Worker Name
workertop,작업자 상단,Worker Top
workerlevenum,레벨: {0},Level: {0}
workerleve,작업자 레벨,Worker Level
productspeed,생산 속도,Production Speed
statuseffect,상태 효과,Status Effect
beforeupgradenum2,업그레이드 전: {0},Before: {0}
afterupgradenum2,업그레이드 후: {0},After: {0}
beforeupgradenum1,업그레이드 전: {0},Before: {0}
afterupgradenum1,업그레이드 후: {0},After: {0}
upgrademoneynum,업그레이드 비용: {0},Upgrade Cost: {0}
itemlabel,아이템 라벨,Item Label
runworkername,,
runworkerlevenum,,
runworkerleve,,
runupgrademoneynum,,
runmoneybutton,,
runbuildingname,,
runmaterials,,
runbuildingcount,,
runconstellation,,
runchoicequestion,,
runlevelnum,,
runproductspeed,,
runstatuseffect,,
setting,,
supportbutton,,
emergencyescape,,
bgm,,
sfx,,
vibration,,
